symbol,Date,Price
POW,2024-09-02,12.679266
POW,2024-09-03,12.633622
POW,2024-09-04,12.5886
POW,2024-09-05,12.544245
POW,2024-09-06,12.50059
POW,2024-09-07,12.457665
POW,2024-09-08,12.415494
POW,2024-09-09,12.374099
POW,2024-09-10,12.333494
REE,2024-08-21,67.14048
REE,2024-08-22,67.23012
REE,2024-08-23,67.23141
REE,2024-08-24,67.17355
REE,2024-08-25,67.07639
REE,2024-08-26,66.95377
REE,2024-08-27,66.81525
REE,2024-08-28,66.667336
REE,2024-08-29,66.51442
REE,2024-08-30,66.35942
REE,2024-08-31,66.204254
REE,2024-09-01,66.05018
REE,2024-09-02,65.897995
REE,2024-09-03,65.74822
REE,2024-09-04,65.60117
REE,2024-09-05,65.457054
REE,2024-09-06,65.31597
REE,2024-09-07,65.17799
REE,2024-09-08,65.04317
REE,2024-09-09,64.91148
REE,2024-09-10,64.782936
SBT,2024-08-21,12.637136
SBT,2024-08-22,12.652791
SBT,2024-08-23,12.65667
SBT,2024-08-24,12.651622
SBT,2024-08-25,12.640187
SBT,2024-08-26,12.62441
SBT,2024-08-27,12.605808
SBT,2024-08-28,12.58546
SBT,2024-08-29,12.56409
SBT,2024-08-30,12.542167
SBT,2024-08-31,12.519977
SBT,2024-09-01,12.49769
SBT,2024-09-02,12.4754
SBT,2024-09-03,12.4531555
SBT,2024-09-04,12.430979
SBT,2024-09-05,12.408875
SBT,2024-09-06,12.386847
SBT,2024-09-07,12.364892
SBT,2024-09-08,12.343008
SBT,2024-09-09,12.321192
SBT,2024-09-10,12.29944
SSI,2024-08-21,31.959524
SSI,2024-08-22,32.0508
SSI,2024-08-23,32.131268
SSI,2024-08-24,32.202927
SSI,2024-08-25,32.26777
SSI,2024-08-26,32.327522
SSI,2024-08-27,32.383553
SSI,2024-08-28,32.436855
SSI,2024-08-29,32.48815
SSI,2024-08-30,32.537918
SSI,2024-08-31,32.586483
SSI,2024-09-01,32.634056
SSI,2024-09-02,32.680767
SSI,2024-09-03,32.7267
SSI,2024-09-04,32.7719
SSI,2024-09-05,32.816406
SSI,2024-09-06,32.860226
SSI,2024-09-07,32.903378
SSI,2024-09-08,32.945858
SSI,2024-09-09,32.98769
SSI,2024-09-10,33.028862
STB,2024-08-21,29.308975
STB,2024-08-22,29.413803
STB,2024-08-23,29.493866
STB,2024-08-24,29.559238
STB,2024-08-25,29.615623
STB,2024-08-26,29.66632
STB,2024-08-27,29.71319
STB,2024-08-28,29.75723
STB,2024-08-29,29.799006
STB,2024-08-30,29.83879
STB,2024-08-31,29.876726
STB,2024-09-01,29.91287
STB,2024-09-02,29.947252
STB,2024-09-03,29.979895
STB,2024-09-04,30.010798
STB,2024-09-05,30.039972
STB,2024-09-06,30.067432
STB,2024-09-07,30.093206
STB,2024-09-08,30.117323
STB,2024-09-09,30.139822
STB,2024-09-10,30.16073
TCB,2024-08-21,22.467772
TCB,2024-08-22,22.485365
TCB,2024-08-23,22.532343
TCB,2024-08-24,22.597715
TCB,2024-08-25,22.67435
TCB,2024-08-26,22.757643
TCB,2024-08-27,22.84465
TCB,2024-08-28,22.9335
TCB,2024-08-29,23.02301
TCB,2024-08-30,23.112455
TCB,2024-08-31,23.201384
TCB,2024-09-01,23.289526
TCB,2024-09-02,23.376724
TCB,2024-09-03,23.462893
TCB,2024-09-04,23.547989
TCB,2024-09-05,23.631996
TCB,2024-09-06,23.714916
TCB,2024-09-07,23.796852
TCB,2024-09-08,23.877718
TCB,2024-09-09,23.957542
TCB,2024-09-10,24.036346
TCH,2024-08-21,17.570099
TCH,2024-08-22,17.664986
TCH,2024-08-23,17.748951
TCH,2024-08-24,17.824987
TCH,2024-08-25,17.895412
TCH,2024-08-26,17.962088
TCH,2024-08-27,18.026411
TCH,2024-08-28,18.089361
TCH,2024-08-29,18.151617
TCH,2024-08-30,18.213636
TCH,2024-08-31,18.275694
TCH,2024-09-01,18.337975
TCH,2024-09-02,18.400576
TCH,2024-09-03,18.463554
TCH,2024-09-04,18.526941
TCH,2024-09-05,18.590752
TCH,2024-09-06,18.654984
TCH,2024-09-07,18.719639
TCH,2024-09-08,18.78471
TCH,2024-09-09,18.850178
TCH,2024-09-10,18.91605
TPB,2024-08-21,17.35323
TPB,2024-08-22,17.386803
TPB,2024-08-23,17.414024
TPB,2024-08-24,17.437366
TPB,2024-08-25,17.458244
TPB,2024-08-26,17.477472
TPB,2024-08-27,17.495525
TPB,2024-08-28,17.512684
TPB,2024-08-29,17.529114
TPB,2024-08-30,17.544918
TPB,2024-08-31,17.560163
TPB,2024-09-01,17.574896
TPB,2024-09-02,17.589148
TPB,2024-09-03,17.602947
TPB,2024-09-04,17.616314
TPB,2024-09-05,17.629269
TPB,2024-09-06,17.641832
TPB,2024-09-07,17.65402
TPB,2024-09-08,17.665846
TPB,2024-09-09,17.67733
TPB,2024-09-10,17.688484
VCB,2024-08-21,88.30248
VCB,2024-08-22,88.452934
VCB,2024-08-23,88.530045
VCB,2024-08-24,88.56215
VCB,2024-08-25,88.56662
VCB,2024-08-26,88.55414
VCB,2024-08-27,88.53123
VCB,2024-08-28,88.50189
VCB,2024-08-29,88.46855
VCB,2024-08-30,88.43272
VCB,2024-08-31,88.39534
VCB,2024-09-01,88.357086
VCB,2024-09-02,88.318375
VCB,2024-09-03,88.2795
VCB,2024-09-04,88.240746
VCB,2024-09-05,88.20228
VCB,2024-09-06,88.164276
VCB,2024-09-07,88.12686
VCB,2024-09-08,88.090164
VCB,2024-09-09,88.054276
VCB,2024-09-10,88.019264
VHM,2024-08-21,37.67011
VHM,2024-08-22,37.887733
VHM,2024-08-23,38.059273
VHM,2024-08-24,38.19923
VHM,2024-08-25,38.31734
VHM,2024-08-26,38.420185
VHM,2024-08-27,38.512245
VHM,2024-08-28,38.596584
VHM,2024-08-29,38.67531
VHM,2024-08-30,38.74987
VHM,2024-08-31,38.821274
VHM,2024-09-01,38.890198
VHM,2024-09-02,38.957123
VHM,2024-09-03,39.022373
VHM,2024-09-04,39.086166
VHM,2024-09-05,39.148655
VHM,2024-09-06,39.20995
VHM,2024-09-07,39.270123
VHM,2024-09-08,39.32923
VHM,2024-09-09,39.38732
VHM,2024-09-10,39.444424
VIC,2024-08-21,40.976673
VIC,2024-08-22,40.955414
VIC,2024-08-23,40.92975
VIC,2024-08-24,40.900227
VIC,2024-08-25,40.867565
VIC,2024-08-26,40.83244
VIC,2024-08-27,40.795403
VIC,2024-08-28,40.756874
VIC,2024-08-29,40.71714
VIC,2024-08-30,40.676388
VIC,2024-08-31,40.634727
VIC,2024-09-01,40.592228
VIC,2024-09-02,40.548916
VIC,2024-09-03,40.504807
VIC,2024-09-04,40.459892
VIC,2024-09-05,40.41416
VIC,2024-09-06,40.367603
VIC,2024-09-07,40.320206
VIC,2024-09-08,40.271946
VIC,2024-09-09,40.22281
VIC,2024-09-10,40.172775
VJC,2024-08-21,103.42356
VJC,2024-08-22,103.865204
VJC,2024-08-23,104.101395
VJC,2024-08-24,104.21959
VJC,2024-08-25,104.26645
VJC,2024-08-26,104.2675
VJC,2024-08-27,104.237045
VJC,2024-08-28,104.183556
VJC,2024-08-29,104.1125
VJC,2024-08-30,104.02777
VJC,2024-08-31,103.93244
